"CustomerID,Age,Income,Occupation,Date,DailyCredit,DailyDebit,AccountBalance,InvestmentReturn,CreditScore,FeedbackNote"
"C001,34,72000,Engineer,2025-01-03T10:15:22,250.50,89.20,15432.10,0.8,712,""I plan to increase my savings next month."""
"C002,57,98000,Manager,2025-01-15T14:02:10,0,340.12,20100.55,1.2,745,""Thinking of moving some funds into stocks."""
"C003,41,65000,Teacher,2025-01-20T09:50:44,120.30,75.00,8930.77,-0.3,689,""My expenses were high this month."""
"C004,29,54000,Designer,2025-01-11T18:44:05,400.00,0,6400.20,2.1,701,""I want to start investing more aggressively."""
"C005,46,112000,Consultant,2025-01-08T12:28:10,,410.33,29880.66,0.5,780,""(missing)"""
"C006,52,86000,Accountant,2025-01-24T11:11:56,350.00,130.20,17750.43,-1.7,732,""Concerned about market volatility."""
"C007,23,38000,Customer Service,2025-01-05T08:37:12,50.00,110.00,2480.88,3.4,655,""Trying to keep track of my spending."""
"C008,44,71000,Engineer,2025-01-27T15:19:48,289.55,99.99,14200.12,0.9,702,""Planning to buy a car soon."""
"C009,60,125000,Director,2025-01-13T20:33:01,900.00,200.00,49800.00,1.4,790,""Satisfied with investment performance."""
"C010,31,49000,Sales,2025-01-02T07:22:58,75.00,85.50,5200.77,0.1,671,""Hoping to grow my emergency fund."""
"C011,38,72000,Engineer,2025-01-09T17:45:33,230.00,310.10,10240.60,-0.8,702,""Unexpected bills this month."""
"C012,55,93000,Consultant,2025-01-29T19:51:14,,540.77,23050.33,2.8,759,""Planning for retirement investments."""
"C013,47,68000,Nurse,2025-01-17T10:05:02,88.23,69.99,9870.45,0.6,721,""Keeping expenses low is my priority."""
"C014,36,76000,Software Dev,2025-01-26T13:36:08,333.00,122.88,17890.55,-2.4,699,""Investments underperformed? again."""
"C015,50,57000,Teacher,2025-01-30T16:27:40,0,199.50,12000.22,0.2,741,""Planning to reduce credit card use."""
"C016,28,45000,Fitness Trainer,2025-01-06T12:14:10,140.00,150.00,3100.11,1.1,662,""Trying to save more consistently."""
"C017,66,138000,Retired,2025-01-18T09:19:55,600.00,0,78300.33,0.3,801,""(no comment)"""
"C018,43,83000,Engineer,2025-01-23T14:32:07,220.00,315.60,15400.52,-1.0,715,""Might shift funds to bonds."""
"C019,39,69000,Analyst,2025-01-10T18:00:22,310.00,210.00,12990.44,0.7,705,""Looking for better investment options."""
"C020,58,102000,Manager,2025-01-12T08:40:45,450.00,400.05,25500.10,1.3,752,""Considering raising monthly deposits."""
"C021,32,61000,Marketing,2025-01-21T11:55:29,75.00,800.00,4900.13,-5.1,658,""Had higher-than-usual bills."""
"C022,27,52000,Designer,2025-01-16T07:25:14,210.00,80.00,6200.40,4.0,673,""Feeling confident about saving."""
"C023,48,84000,Accountant,2025-01-19T15:20:44,0,375.00,17050.00,-0.2,739,""Slow growth but stable."""
"C024,34,58000,Sales,2025-01-14T09:08:17,99.99,120.00,7200.22,1.9,682,""Trying to build better habits."""
"C025,45,97000,Engineer,2025-01-07T21:30:35,810.00,100.00,30400.39,-3.2,728,""Market drop affected my returns."""
"C026,26,44000,Barista,2025-01-04T12:12:12,40.00,60.10,2200.50,,649,""Not sure how to invest yet."""
"C027,53,92000,Manager,2025-01-22T10:44:49,300.00,250.00,20700.99,2.2,758,""I plan to adjust my portfolio soon."""
"C028,37,76000,Engineer,2025-01-25T17:18:03,500.00,900.00,14000.22,-7.5,699,""Unexpected home repair costs."""
"C029,29,51000,Technician,2025-01-28T08:02:11,150.00,50.00,5800.66,0.4,668,""Increasing my savings slowly."""
"C030,62,110000,Executive,2025-01-01T19:45:30,1200.00,350.00,65300.00,2.9,788,""Good month for my investments."""
